"id";"nombre";"partido";"distrito"
"1096";"Sra. María Candelaria Acevedo";"PC";"20"
"1097";"Sr. Eric Aedo";"DC";"20"
"1098";"Sra. Yovana Ahumada";"PDG";"3"
"1009";"Sr. Jorge Alessandri";"UDI";"10"
"803";"Sr. René Alinco";"IND";"27"
"1099";"Sr. Jaime Araya";"IND";"3"
"1100";"Sr. Cristián Araya";"PREP";"11"
"1101";"Sra. Mónica Arce";"IND";"12"
"1102";"Sr. Roberto Arroyo";"PDG";"20"
"1103";"Sra. Danisa Astudillo";"PS";"2"
"1104";"Sra. Chiara Barchiesi";"PREP";"6"
"1012";"Sr. Boris Barrera";"PC";"9"
"1105";"Sr. Héctor Barría";"DC";"25"
"1106";"Sr. Miguel Ángel Becker";"RN";"23"
"1107";"Sra. María Francisca Bello";"PCS";"6"
"1108";"Sr. Juan Carlos Beltrán";"RN";"22"
"1109";"Sr. Gustavo Benavente";"UDI";"18"
"971";"Sr. Bernardo Berger";"IND";"24"
"1013";"Sr. Alejandro Bernales";"LIBERAL";"26"
"1110";"Sr. Carlos Bianchi";"IND";"28"
"815";"Sr. Sergio Bobadilla";"UDI";"20"
"1111";"Sr. Fernando Bórquez";"UDI";"26"
"1112";"Sra. Ana María Bravo";"PS";"24"
"1113";"Sra. Marta Bravo";"UDI";"19"
"1015";"Sr. Jorge Brito";"RD";"7"
"1114";"Sr. Félix Bugueño";"FRVS";"16"
"1115";"Sra. Mercedes Bulnes";"IND";"17"
"1016";"Sr. Miguel Ángel Calisto";"IND";"27"
"1116";"Sr. Felipe Camaño";"IND";"19"
"973";"Sra. Karol Cariola";"PC";"9"
"1017";"Sr. Álvaro Carter";"UDI";"12"
"1117";"Sra. Nathalie Castillo";"PC";"5"
"1019";"Sr. José Miguel Castro";"RN";"3"
"1021";"Sr. Andrés Celis";"RN";"7"
"975";"Sra. Daniella Cicardini";"PS";"4"
"1022";"Sra. Sofía Cid";"RN";"4"
"1118";"Sr. Ricardo Cifuentes";"DC";"5"
"976";"Sr. Juan Antonio Coloma";"UDI";"14"
"1119";"Sra. Sara Concha";"PCC";"19"
"1120";"Sra. María Luisa Cordero";"IND";"10"
"1121";"Sr. Eduardo Cornejo";"UDI";"16"
"1122";"Sr. Luis Alberto Cuello";"PC";"7"
"1123";"Sr. Gonzalo De la Carrera";"IND";"11"
"1124";"Sr. Tomás De Rementería";"IND";"7"
"1025";"Sra. Catalina Del Real";"RN";"11"
"1125";"Sra. Viviana Delgado";"PEV";"8"
"1126";"Sr. Felipe Donoso";"UDI";"17"
"1027";"Sr. Jorge Durán";"RN";"9"
"1028";"Sr. Eduardo Durán";"RN";"13"
"1030";"Sra. Camila Flores";"RN";"6"
"1127";"Sra. Lorena Fries";"IND";"10"
"1031";"Sr. Juan Fuenzalida";"UDI";"5"
"1128";"Sra. Ana María Gazmuri";"PAH";"12"
"1129";"Sr. Andrés Giordano";"IND";"9"
"1034";"Sr. Félix González";"PEV";"20"
"1130";"Sra. Marta González";"IND";"15"
"1131";"Sr. Mauro González";"RN";"26"
"1132";"Sr. Jorge Guzmán";"EVOP";"17"
"1035";"Sra. Carmen Hertz";"PC";"8"
"1036";"Sr. Tomás Hirsch";"PAH";"11"
"1037";"Sr. Diego Ibáñez";"PCS";"6"
"1038";"Sr. Marcos Ilabaca";"PS";"24"
"1133";"Sr. Juan Irarrázaval";"PREP";"14"
"1039";"Sra. Pamela Jiles";"PH";"12"
"1134";"Sr. Andrés Jouannet";"IND";"23"
"1040";"Sr. Harry Jürgensen";"IND";"25"
"1135";"Sr. Johannes Kaiser";"PREP";"10"
"1094";"Sr. Cristian Labbé";"UDI";"8"
"1136";"Sra. Paula Labra";"IND";"18"
"1137";"Sr. Tomás Lagomarsino";"IND";"7"
"989";"Sr. Joaquín Lavín";"UDI";"8"
"1138";"Sr. Henry Leal";"UDI";"23"
"1139";"Sr. Enrique Lee";"PRI";"1"
"1044";"Sr. Raúl Leiva";"PS";"14"
"1140";"Sr. Daniel Lilayu";"UDI";"25"
"1046";"Sr. Andrés Longton";"RN";"6"
"1141";"Sr. Luis Malla";"LIBERAL";"1"
"1142";"Sr. Daniel Manouchehri";"PS";"5"
"1143";"Sr. Cristóbal Martínez";"UDI";"19"
"1048";"Sra. Carolina Marzán";"PPD";"6"
"1144";"Sr. Christian Matheson";"IND";"28"
"1145";"Sra. Karen Medina";"PDG";"21"
"1049";"Sr. Cosme Mellado";"PR";"16"
"1050";"Sr. Miguel Mellado";"RN";"23"
"990";"Sr. Daniel Melo";"PS";"13"
"1146";"Sr. José Carlos Meza";"PREP";"9"
"991";"Sr. Vlado Mirosevic";"LIBERAL";"1"
"1051";"Sra. Claudia Mix";"COMUNES";"8"
"1147";"Sra. Helia Molina";"PPD";"10"
"1148";"Sra. Javiera Morales";"PCS";"28"
"1149";"Sra. Carla Morales";"RN";"16"
"1053";"Sr. Cristhian Moreira";"UDI";"13"
"1150";"Sr. Benjamín Moreno";"PREP";"17"
"872";"Sr. Jaime Mulet";"FRVS";"4"
"1054";"Sra. Francesca Muñoz";"IND";"20"
"1151";"Sra. Camila Musante";"IND";"14"
"74";"Sr. Jaime Naranjo";"PS";"18"
"1152";"Sra. Gloria Naveillan";"IND";"22"
"1056";"Sra. Emilia Nuyado";"PS";"25"
"1153";"Sra. Ericka Ñanco";"RD";"23"
"1154";"Sr. Mauricio Ojeda";"IND";"23"
"1057";"Sra. Erika Olivera";"IND";"9"
"1058";"Sra. Maite Orsini";"RD";"9"
"1059";"Sra. Ximena Ossandón";"RN";"12"
"1155";"Sr. Rubén Darío Oyarzo";"PDG";"8"
"1156";"Sr. Hernán Palma";"IND";"12"
"1157";"Sra. Marlene Pérez";"IND";"20"
"1062";"Sra. Joanna Pérez";"IND";"21"
"1063";"Sra. Catalina Pérez";"RD";"3"
"1158";"Sr. Víctor Alejandro Pino";"PDG";"5"
"1159";"Sra. Lorena Pizarro";"PC";"13"
"1160";"Sra. Alejandra Placencia";"PC";"10"
"1161";"Sr. Francisco Pulgar";"IND";"17"
"1065";"Sr. Guillermo Ramírez";"UDI";"11"
"1162";"Sr. Matías Ramírez";"PC";"2"
"1163";"Sra. Marcia Raphael";"RN";"27"
"999";"Sr. Jorge Rathgeb";"RN";"22"
"1067";"Sr. Hugo Rey";"RN";"17"
"1164";"Sra. Marcela Riquelme";"IND";"15"
"948";"Sr. Gaspar Rivas";"PDG";"6"
"1068";"Sra. Camila Rojas";"COMUNES";"7"
"1165";"Sr. Agustín Romero";"PREP";"8"
"1069";"Sr. Leonidas Romero";"IND";"20"
"1166";"Sra. Natalia Romero";"IND";"15"
"1070";"Sr. Patricio Rosas";"IND";"24"
"1167";"Sr. Jaime Sáez";"RD";"26"
"1168";"Sr. Jorge Saffirio";"IND";"22"
"1169";"Sra. Clara Sagardia";"IND";"21"
"1170";"Sr. Luis Sánchez";"PREP";"7"
"1073";"Sr. Juan Santana";"PS";"4"
"1074";"Sra. Marisela Santibáñez";"PC";"14"
"953";"Sr. Frank Sauerbaum";"RN";"19"
"1075";"Sr. Diego Schalper";"RN";"15"
"1171";"Sra. Emilia Schneider";"PCS";"10"
"1172";"Sr. Stephan Schubert";"IND";"23"
"1076";"Sr. Alexis Sepúlveda";"PR";"17"
"1173";"Sra. Daniela Serrano";"PC";"12"
"1002";"Sr. Leonardo Soto";"PS";"14"
"1077";"Sr. Raúl Soto";"PPD";"15"
"1174";"Sr. Marco Antonio Sulantay";"UDI";"5"
"1175";"Sr. Cristián Tapia";"IND";"4"
"1176";"Sr. Hotuiti Teao";"IND";"7"
"1177";"Sra. Carolina Tello";"PC";"5"
"1003";"Sr. Renzo Trisotti";"UDI";"2"
"1178";"Sr. Héctor Ulloa";"IND";"26"
"1081";"Sr. Francisco Undurraga";"EVOP";"11"
"1179";"Sr. Alberto Undurraga";"DC";"8"
"1082";"Sr. Cristóbal Urruticoechea";"PREP";"21"
"1180";"Sra. Consuelo Veloso";"RD";"18"
"1181";"Sr. Nelson Venegas";"PS";"6"
"1182";"Sr. Sebastián Videla";"IND";"3"
"917";"Sr. Gastón Von Mühlenbrock";"UDI";"24"
"1183";"Sra. Flor Weisse";"UDI";"21"
"1086";"Sr. Gonzalo Winter";"PCS";"10"
"1087";"Sra. Gael Yeomans";"PCS";"13"
